,root,num_radicals,class,type,infinitive,languages,gloss
463,hm',3,?-?,,,B,see
464,hm',3,i-i,,,"B, Ass",I paralyse; stun; immobilize; II trust
465,hm',3,u-u,,,Ass,rejoice
466,hm',3,u-u,,,B,"I trust; II howl (of ghost, storm, dog)"
467,hmd,3,i-i,,,B,hide away; (N) excuse of someone
468,hml,3,i-i,,,B,plan evil things
469,hmm,3,a-u,,,"B, Ass",gather (reeds); concentrate
470,hmr,3,?-?,,,B,become dry
471,hmṣ,3,a-u,,,"B, Ass",tear off (clothing)
472,hmš,3,i-i,,,B,"snap off (reed, tooth)"
473,hmš,3,u-u,,,"B, Ass",be fifth; do five times; (D) become one fifth
474,hmṭ,3,a-u,,,"B, Ass","burn, be inflamed; glow"
475,hmṭ,3,u-u,,,"B, Ass","hasten, be quick; (D) hasten troops up"
476,hn',3,d-d,,,B,"give shelter, lodge"
477,hn',3,i-i,,,"B, Ass","pressurize, browbeat"
478,hnb,3,u-u,,,"B, Ass",flourish plants; (S) make grow luxuriantly
479,hnm,3,i-i,,,B,be luxuriant; thrive
480,hnn,3,?-?,,,B,(meaning unknown)
481,hnn,3,d-d,,,Ass,(meaning uncertain)
482,hnn,3,u-u,,,Ass,flow
483,hnp,3,?-u,,,B,act impiously
484,hnp,3,i-i,,,"B, Ass","flatter, fawn"
485,hnq,3,a-u,,,"B, ASs",press throttle; (D) suffocate
486,hnš,3,i-i,,,Ass,submit o.s.; (D) subjugate
487,hnṣ,3,i-i,,,"B, Ass","lift lips, show teeth"
488,hnš,3,u-u,,,NA,bow down; submit
489,hnṭ,3,a-u,,,Ass,"embalm, stuff"
490,hp',3,i-i,,,"B, Ass",break
491,hpd,3,d-d,,,B,destroy eyesight; make blind
492,hpp,3,?-?,,,B,"wash, clean"
493,hpp,3,a-u,,,"B, Ass",break up; smash
494,hpr,3,?-?,,,B,"surround, encircle"
495,hpr,3,?-u,,,B,"decamp, become vagrant"
496,hpr,3,i-i,,,Ass,dig (up)
497,hpt,3,i-i,,,B,"triumph, prevail"
498,hpt,3,u-u,,,B,"triumph, prevail"
499,hqm,3,d-d,,,B,(meaning unknown); action applied to flour
500,hqr,3,?-?,,,B,investigate
501,hr',3,i-i,ea,,"B, Ass","dig, excavate"
502,hrb,3,i-i,,,"B, Ass","become deserted (of land, settlements); (S) devastate, lay waste"
503,hrb,3,u-u,,,B,"become deserted (of land, settlements); (S) devastate, lay waste"
504,hrd,3,?-?,,,B,fit together
505,hrd,3,i-i,,,"B, Ass","be on guard, awake; (D) put on guard"
506,hrk,3,?-?,,,B,post troops
507,hrk,3,a-u,,,Ass,post (troops)
508,hrm,3,?-?,,,B,"cut off, separate"
509,hrm,3,i-i,,,"B, Ass","envelop, cover tablet; isolate, keep apart"
510,hrp,3,i-i,,,B,cut away door
511,hrp,3,u-u,,,"B, Ass","be early, be first; do"
512,hrr,3,a-u,,,"B, Ass","dig; hollow out, root"
513,hrr,3,u-u,,,Ass,"croak, gurgle, rumble"
514,hrs,3,?-?,,,B,"itch, scratch"
515,hrš,3,?-?,,,"B, Ass",I bind on body; II be silent
516,hrš,3,a-a,,,Ass,be silent
517,hrs,3,a-u,,,Ass,"itch, scratch"
518,hrṣ,3,a-u,,,Ass,"clear up, find out"
519,hrṣ,3,a-u,,,B,"break off, deduct, incise, make clear; (St) calculate deduction"
520,hrṣ,3,i-i,,,B,"pinch off, break off, gnaw bone"
521,hrš,3,i-i,,,"B, Ass",be in labour; bring to birth
522,hrṭ,3,?-i,,,NA,feed on
523,hrṭ,3,?-u,,,B,feed on
524,hrṭ,3,i-i,,,Ass,"mince, strip off, pick"
525,hṣ',3,?-?,,,?,raise objection
526,hš',3,?-?,,,B,raise objection
527,hs',3,i-i,,,"B, Ass","cover up; hack, break a mountain by pickaxes; (D) conceal; keep secret "
528,hs',3,i-i,,hasā'u,Ass,"mistreat, misuse, harass"
529,hṣb,3,?-?,,,B,be green
530,hšb,3,?-?,,,B,"count, reckon"
531,hṣb,3,a-u,,,"B, Ass",break off reed; (N) broken off
532,hšd,3,?-?,,,Ass,"propose to, propose marriage"
533,hšh,3,a-a,,,Ass,"need, require; desire; like"
534,hšh,3,a-u,,,Ass,"need, require; desire; like"
535,hšh,3,i-i,,,B,"need, require; desire; like"
536,hšl,3,a-u,,,"B, Ass","bruise, crush, shatter"
537,hṣn,3,i-i,,,"B, Ass",hug; take under protection; shelter
538,hsp,3,i-i,,,"B, Ass","pluck out, tear away"
539,hšr,3,?-?,,,B,(meaning unknown)
540,hsr,3,i-i,ea,,"B, Ass","blunt, chip off, trim"
541,hšš,3,a-u,,,B,gather; hasten; (Gt) apply oil; (D) plaster with clay
542,hṣṣ,3,a-u,,,"B, Ass",I snap off; II erect
543,hss,3,a-u,,,"B, Ass","think of, be mindful of, heed; be conscious"
544,hšš,3,u-u,,,B,swell; rejoice
545,hṭ',3,i-i,,,"B, Ass",commit crime; do wrong; neglect; spoil
546,htk,3,a-u,,,B,decide
547,hṭm,3,i-i,,,"B, Ass","block, muzzle, stop up"
548,htn,3,i-i,,,"B, Ass","protect, shelter"
549,hṭp,3,?-?,,,B,(meaning unclear); (D) wipe away
550,htp,3,i-i,,,"B, Ass",slaughter
551,htr,3,i-i,,,B,flutter
552,hṭṭ,3,a-u,,,Ass,ferment
553,hṭṭ,3,a-u,,,"B, Ass",excavate (canal)
554,hw',3,u-u,,,B,"howl (of ghost, storm, dog)"
555,hz',3,?-?,,,B,raise objection
556,hz',3,?-?,,hutenzu,B,be(come) lame
557,hz',3,d-d,,,Ass,"limp, hobble"
558,hz',3,u-u,,,Ass,"fizz, hiss; be husky"
559,hzm,3,?-?,,,B,mutilate (ear)
560,hzq,3,?-?,,,B,(meaning unknown)
561,jnq,3,i-i,e,,B,suck; (D) soak; (S) suckle
562,jṣr,3,i-i,e,,B,"draw, make a design"
563,k'',3,?-?,,,?,"spit, spew"
564,k'd,3,?-?,,kiādu,Ass,(meaning unknown)
565,k'd,3,a-a,,,B,be in distress?
566,k'd,3,u-u,,,B,"watch, guard"
567,k'l,3,d-d,,,B,hold; retain
568,k'n,3,u-u,,,B,"become firm, become true"
569,k'p,3,a-a,,,B,oppress
570,k'r,3,?-?,,,Ass,"be benumbed, dazed, fall"
571,k'r,3,?-?,,,B,I be dazed; II rub on (medicine)
572,k'š,3,?-?,,kuāšu,Ass,"be late, be delayed"
573,k'ṣ,3,?-?,,kuāṣu,Ass,flay; skin (D ~ G)
574,k's,3,?-?,e,,B,(meaning unknown)
575,k'š,3,i-i,,,B,delay; (D) hold up
576,k'ṣ,3,i-i,,,Nuzi,flay; skin (D ~ G)
577,k'ṣ,3,u-u,,,B,flay; skin (D ~ G)
578,kb',3,d-d,,,B,I sew; II (meaning unknown)
579,kbb,3,?-?,,,Ass,burn
580,kbb,3,a-u,,,B,I burn; II curve; twist
581,kbd,3,i-i,,,Ass,"be important, respected"
582,kbd,3,i-i,,,NA,"be(come) heavy, burdensome"
583,kbl,3,a-u,,,"B, Ass","be(come) paralysed, crippled"
584,kbr,3,i-i,,,"B, Ass",fatten; become thick
585,kbš,3,?-?,,,B,put headgear on
586,kbš,3,a-u,,,B,"step, tread (on)"
587,kbs,3,a-u,,,"B, Ass","step, tread (on)"
588,kbṣ,3,i-i,,,B,"bend back, distort"
589,kbt,3,i-i,,,"B, Ass","be(come) heavy, burdensome"
590,kdd,3,a-u,,,B,rub
591,kdn,3,d-d,,,B,seek sanctuary
592,kdp,3,?-?,,,B,(meaning unknown)
593,kdr,3,?-?,,,NA,labour
594,kdr,3,i-i,,,"B, Ass","I rear up; (S) stir up, incite; be arrogant, wild; II delimit; III toil"
595,kl',3,a-a,,,"B, Ass",hold back; retain; stop
596,kl',3,d-d,,,Ass,"hold, take for; keep"
597,kll,3,d-d,,,"B, Ass","veil, crown"
598,klm,3,d-d,,,"B, Ass","show, display; (DR) reveal"
599,klṣ,3,i-i,,,"B, Ass","contract, roll up"
600,km',3,i-i,,,"B, Ass",bind (enemy land)
601,km',3,u-u,,,B,bind (enemy land)
602,kmd,3,?-?,,,B,beat cloth
603,kmd,3,a-u,,,Ass,knit
604,kml,3,i-i,,,B,be(come) angry
605,kmm,3,?-?,,,B,stand up
606,kmm,3,a-u,,,"B, Ass",nod the head
607,kmr,3,a-u,,,B,"heap, pile up, accumulate"
608,kmr,3,i-i,,,Ass,"heap, pile up, accumulate"
609,kmṣ,3,i-i,,,Ass,"I contract, shrink; II crouch, kneel, squat"
610,kmš,3,i-i,,,B,bow
611,kmṣ,3,i-i,,,B,I gather together; store; II bow
612,kms,3,i-i,,,"B, Ass",I gather together; store; II bow
613,kn',3,?-?,,,B,dress up; care; (D) treat kindly
614,kn',3,d-d,,,Ass,"make up, spruce up"
615,kn',3,d-d,,,Ass,"treat kindly, treat"
616,knb,3,d-d,,,B,(meaning unknown)
617,knk,3,a-u,,,"B, Ass",seal
618,knn,3,a-u,,,"B, Ass",roll up; coil
619,knp,3,d-d,,,B,(meaning unknown)
620,knš,3,d-d,,,Ass,"gather, collect"
621,knš,3,i-i,,,B,"humble oneself, submit, bow"
622,knš,3,u-u,,,"B, Ass","humble oneself, submit, bow"
623,knz,3,?-?,,,B,store away
624,kp',3,?-?,ea,,"B, Ass",bend back; be curved
625,kpd,3,i-i,,,B,"plan, scheme, arrange"
626,kpd,3,u-u,,,"Ass, B","plan, project, scheme"
627,kpl,3,i-i,,,"B, Ass",wind up; roll up (reed mat)
628,kpp,3,?-?,,,Ass,"bend, curve, bow; subdue"
629,kpp,3,a-u,,,B,"curve, twist"
630,kpr,3,a-u,,,"B, Ass",I strip; II wipe off; III smear
631,kpš,3,?-?,,,B,be abundant
632,kps,3,i-i,,,B,"bend back, distort"
633,kpṣ,3,i-i,,,"B, Ass","bend back, distort, be curled"
634,kpt,3,a-u,,,Ass,accrue(?); accede
635,kpt,3,u-u,,,NA,"plan, scheme, arrange"
636,kr',3,?-?,,,B,bow down
637,kr',3,d-d,,,Ass,deplore
638,kr',3,i-i,,,B,become short
639,kr',3,u-u,,,Ass,"be short, draw in"
640,kr',3,u-u,,,B,become short
641,krb,3,a-u,,,"B, Ass","bless, pray, dedicate, greet"
642,krk,3,i-i,,,"B, Ass",collect; (N) wound up of intestines
643,krm,3,i-i,ae,,"B, Ass","I hinder, restrain, delay; II grasp; stock up, store"
644,krr,3,a-u,,,"B, Ass",put down; drop; discard
645,krs,3,?-?,,,Ass,"be cold, cool"
646,krs,3,?-?,,,B,tie up
647,krṣ,3,a-u,,,B,"pinch off, break off, gnaw bone"
648,krṣ,3,i-i,,,"Ass, B","pinch off, break off, gnaw bone"
649,krṭ,3,?-?,,,B,(~medical condition); (N) be merciful
650,krt,3,i-i,,,"B, Ass","slice, break off, cut off"
651,kṣ',3,?-?,,,Ass,"be cool, cold, chilly; (D)"
652,kš',3,d-d,,,Ass,expand
653,kṣ',3,d-d,,,Ass,tilt
654,kṣ',3,i-i,,,B,be(come) cold; (Gtn) have continually low temperature
655,kš',3,i-i,,,B,I increase; (D) make profit; II cover over (N) be mistreated
656,ks',3,i-i,,,"B, Ass",bind; enfold; (D ~ G)
657,ks',3,u-u,,,B,bind
658,kṣb,3,a-u,,,"B, Ass",reduce
659,kṣd,3,?-?,,,B,seize hold
660,kšd,3,a-u,,,"B, Ass","reach, arrive, conquer"
661,kšh,3,i-i,,,B,"need, require; desire; like"
662,ksm,3,a-u,,,Ass,"chop up, chip, mince"
663,ksm,3,a-u,,,B,chop
664,ksm,3,i-i,,,B,chop
665,ksp,3,a-u,,,"B, Ass",break into bits
666,ksp,3,i-i,,,B,make funerary offering
667,kṣp,3,i-i,,,"B, Ass","reckon, think; calculate; estimate"
668,kšp,3,i-i,,,"B, Ass","cast spell, bewitch, enchant"
669,kšr,3,a-u,,,B,"restore, have success"
670,kṣr,3,a-u,,,"B, Ass","knot, fasten, join (together); organize"
671,kṣr,3,i-i,,,B,"knot, fasten, join (together)"
672,ksr,3,i-i,ae,,"B, Ass",block; pave with bitumen or stone
673,kšr,3,i-i,ae,,"B, Ass","restore, have success"
674,kss,3,a-u,,,Ass,"chew, gnaw; encroach"
675,kṣṣ,3,a-u,,,Ass,"cut short, trim, clip"
676,kṣṣ,3,a-u,,,B,"I shear (sheep and goats); II chew, gnaw (of fire, pain)"
677,kss,3,a-u,,,B,"chew, gnaw; (D) cause pain"
678,kšš,3,a-u,,,"B, Ass",gain control; (D) make acquisition
679,kšš,3,i-i,,,B,gain control; (D) make acquisition
680,kss,3,u-u,,,B,"chew, gnaw; (D) cause pain"
681,kṣṭ,3,i-i,,,Ass,"cut down, cut off, chop"
682,kšṭ,3,i-i,,,B,chop down
683,kt',3,a-a,,,OA,distrain
684,ktm,3,a-u,,,"B, Ass","clothe, cover"
685,kṭp,3,a-u,,,Mari,pluck; pick off (fruit); enjoy sexual charms
686,ktr,3,i-i,,,Ass,"wait, hesitate"
687,ktr,3,i-i,,,"B, Ass","help, aid, assist; get as"
688,ktt,3,?-?,,,B,"quiver, vibrate; shake"
689,ktt,3,u-u,,,Ass,"quiver, ripple, vibrate"
690,kw',3,?-?,,,B,burn; roast; bake
691,kzb,3,?-?,,,B,be attractive
692,kzb,3,i-i,,,Am,tell lies
693,kzb,3,i-i,,,Ass,"be charming, be attractive"
694,kzr,3,i-i,ea,,"B, Ass",give a treatment on hair; curl; coiffure; dress
695,kzz,3,a-u,,,?,shear (sheep and goats)
696,l'',3,d-d,luXXU,,Ass,"defile, dirty, pollute"
697,l'',3,i-i,,la'û,"B, Ass","master; win; be able, be capable; overcome"
698,l'b,3,i-i,,,B,harass demons; infect illness
699,l'd,3,u-u,,,"B, Ass","bend down, come shame"
700,l'k,3,?-?,ea,,"B, Ass",lick up
701,l'm,3,?-?,,liāmu,Ass,taste
702,l'm,3,d-d,,,OB,dissolve
703,l'm,3,e-e,e,,"OAkk, NA",consume
704,l'm,3,u-u,,luāmum,OAss,harangue
705,l'p,3,?-?,,,"B, Ass",(meaning unknown); II wrap in cloth
706,l'š,3,?-?,,,Ass,lick
707,l'š,3,?-?,,,B,defile
708,l'š,3,?-?,,luāšu,Ass,knead
709,l'š,3,u-u,,,B,knead
710,l't,3,u-u,,,?,swallow up
711,l'ṭ,3,u-u,,,"B, Ass",confine; enclose; keep in check
712,l't,3,u-u,,la'ātu,Ass,"absorb, gobble, gulp"
713,l'z,3,a-a,,la'āzu,Ass,"lisp, chant"
714,lb',3,i-i,,,Ass,"surround, besiege; circumvent, go around"
715,lb',3,i-i,e,,B,"howl, cry, squeal"
716,lb',3,u-u,,,"B, Ass","baa, howl, cry, squeal, bellow, bleat, hiss"
717,lbb,3,a-u,,,"B, Ass",rage; be(come) furious; (S) cause fever
718,lbk,3,i-i,,,"B, Ass",be(come) soft
719,lbn,3,i-i,,,Ass,stroke (the nose)
720,lbn,3,i-i,ae,,"B, Ass","I throw down, II make bricks"
721,lbr,3,i-i,,,"B, Ass","become old, long lasting"
722,lbš,3,a-a,,,B,"clothe (oneself), wear"
723,lbš,3,i-i,,,"B, Ass","clothe (oneself), wear"
724,lbt,3,a-u,,,B,"touch, grasp, afflict; write down; smear"
725,lgg,3,?-?,,,B,cry out
726,lhb,3,i-i,ae,,B,rumble; growl (of stomach)
727,lhd,3,?-?,,,B,(meaning unknown)
728,lhm,3,i-i,e,,"B, Ass",consume food or drink
729,lhš,3,u-u,,,Ass,"whisper, murmur; intimate"
730,lht,3,?-?,,,B,(meaning unknown)
731,lhṭ,3,?-?,,,B,(meaning unknown)
732,lk',3,i-i,,,"OA, OB",be(come) weak
733,lk',3,i-i,e,,OB,go
734,lkd,3,i-i,,,B,run
735,lkk,3,d-d,,,B,(meaning unknown)
736,lks,3,d-d,,,B,(meaning unknown)
737,lkṣ,3,d-d,,,B,(meaning unknown)
738,ll',3,?-?,,,B,bind
739,ll',3,d-d,,,Ass,"give pleasure, fondle; provide with charm"
740,lm',3,i-i,,,B,"surround, besiege"
741,lmd,3,a-a,,,"B, Ass","learn, know, find out"
742,lmm,3,?-?,,,"MB, NA",test (in glass manufacture)
743,lmm,3,a-u,,,"B, Ass","chew, munch"
744,lmn,3,i-i,,,"B, Ass","be(come) bad, evil"
745,lmn,3,i-i,e,,B,"be(come) bad, evil"
746,lmṣ,3,d-d,,,OB,(action regarding eyes)
747,lpn,3,i-i,,,"B, Ass",be poor; (D) impoverish
748,lpp,3,?-?,,,B,wrap around
749,lpp,3,a-u,,,Ass,wrap; (D) compile
750,lpt,3,a-u,,,"B, Ass","touch, strike, affect, afflict; write down; smear"
751,lq',3,e-e,ea,,OAss,"I take, receive, accept; II go"
752,lq',3,i-i,,,Ass,"I take, receive, accept; II go"
753,lqh,3,?-?,,,Am,take
754,lqt,3,a-u,,,B,gather up; glean; collect; (N) be taken away by force
755,lqt,3,u-u,,,Ass,gather up; glean; collect; (N) be taken away by force
756,lr',3,?-?,,,Ass,"branch off, ramify"
757,lsm,3,u-u,,,"B, Ass","run, race, gallop"
758,lt',3,e-e,ea,,B,split; shatter
759,lt',3,i-i,,,Ass,split; (D) shatter
760,ltk,3,a-u,,,"B, Ass","test (food, drink); question hypothesis or opininon"
761,lw',3,i-i,,,"OA, OAss, B","surround, besiege"
762,lz',3,u-u,,,B,continue
763,lzn,3,i-i,ae,,"Ass, B","I banter, deride, flout; ridicule"
764,lzz,3,a-a,,,"Ass, B","continue, go on; endure"
765,m'',3,?-?,,maxû,"B, NA",push away
766,m'',3,?-?,,muāxûm,OAss,not to want
767,m'',3,a-a,,maxûm,OB,vomit (bile)
768,m'',3,a-a,,mâ'u,Ass,vomit (bile)
769,m'd,3,i-i,,ma'ādu,"B, Ass","be much, become many"
770,m'h,3,?-?,,,OB,depart
771,m'n,3,?-?,,,"B, Ass","nourish, support"
772,m'n,3,d-d,,ma''unu,Ass,"nourish, support"
773,m'n,3,u-u,,,Ass,provide
774,m'q,3,?-?,,muāQu,Ass,miss(?); boo
775,m'q,3,d-d,,,B,tire; be(come) weary
776,m'r,3,a-a,,,B,"go, march; (D) instruct"
777,m'r,3,a-i,,miāru,Ass,"buy, deal in; shop"
778,m'r,3,d-d,,mu''uru,Ass,"send, guide"
779,m'r,3,i-i,,,"B, Ass",buy
780,m's,3,?-?,,,Ass,"destroy, crush"
781,m'š,3,?-?,,muāšu,Ass,"feel, grope (about)"
782,m'ṣ,3,?-?,,muāṣu,"B, Ass","I churn; II be(come) insufficient, little"
783,m'š,3,?-?,e,,"B, Ass","disregard; neglect; hurl down; check; spurt, scorn"
784,m'ṣ,3,i-i,,,Ass,"be too little, insufficient"
785,m't,3,?-?,,muātu,Ass,die; (S) cause death; execute
786,m't,3,u-u,,,"B, Ass, OAkk",die; (S) cause death; execute
787,m'z,3,?-?,,,B,refuse (to do something)
788,md',3,?-?,ae,,"B, Ass",become visible
789,md',3,d-d,,,Ass,notify(?)
790,mdd,3,a-u,,,"B, Ass","measure, survey; (D ~ G)"
791,mdd,3,i-i,,,B,escape
792,mdl,3,i-i,,,Ass,preserve (food) in salt
793,mdr,3,i-i,,,OB,(condition of eyes)
794,mgd,3,a-u,,,Ass,pick fruit
795,mgg,3,a-u,,,"B, Ass","be(come) rigid, protrude; spread; have cramps; have an erection"
796,mgg,3,u-u,,,Ass,"be(come) rigid, protrude; spread; have cramps; have an erection"
797,mgr,3,a-u,,,"OB, B, OAss","be in agreement, reach an agreement"
798,mgr,3,d-d,,,Ass,tear down; destroy
799,mgr,3,u-u,,,"B, Ass","be in agreement, reach an agreement"
800,mgš,3,d-d,,,B,(meaning unknown)
801,mh',3,i-i,,,"B, Ass",go in trance; rave; frenzy; (D) craze
802,mh',3,u-u,,,OB,go in trance; rave; frenzy; (D) craze
803,mhh,3,a-u,,,"B, Ass",dissolve in liquid; soak
804,mhl,3,?-?,,,B,(meaning unknown)
805,mhr,3,a-u,,,"B, Ass","receive, face, oppose, confront; accept; welcome"
806,mhṣ,3,a-a,,,"B, Ass","beat, punch, flick, hit; knock"
807,mhṣ,3,i-i,,,Ass,weave
808,mk',3,?-?,,,Ass,be weak
809,mk',3,?-?,,,B,I be absent; II spy
810,mk',3,i-i,,,"B, Ass","be lazy, be negligent"
811,mkk,3,a-u,,,"B, Ass",extend; expand
812,mkl,3,?-?,e,,"OB, NA",(meaning unknown)
813,mkr,3,?-?,ae,,"Ass, B",do business; (D) buy
814,mkr,3,a-u,ae,,OB,irrigate
815,mkr,3,i-i,ae,,"B, Ass",irrigate
816,mkš,3,?-?,,,B,(meaning unknown)
817,mks,3,i-i,,,"OB, Ass",levy customs; collect taxes
818,mks,3,u-u,,,OB,levy customs; collect taxes
819,ml',3,a-a,,,"Ass, B",become full
820,mld,3,a-i,,,NB,"give birth, bear, beget, fashion"
821,mlh,3,a-u,,,"B, Ass",tear out; (D) reduce
822,mlk,3,i-i,,,"B, Ass","plan, take counsel; propose"
823,mll,3,?-?,IRREGULAR,mēlulu,"B, Ass",play
824,mll,3,a-u,,,"B, Ass",pillage; consume; loot; eat clean
825,mls,3,a-u,,,B,pluck out
826,mlš,3,a-u,,,B,pluck out
827,mls,3,i-i,,,B,pluck out
828,mlš,3,i-i,,,B,pluck out
829,mlt,3,?-?,,,B,(action regarding entrails)
830,mn',3,i-i,,,B,count
831,mn',3,u-u,,,Ass,"count, calculate, reckon"
832,mq',3,d-d,,,Ass,"be weary, be slow"
833,mqq,3,a-u,,,"Ass, B",protrude; spread; have cramps; have an erection
834,mqr,3,i-i,,,NB,"become rare, scarce, expensive"
835,mqt,3,u-u,,,"B, Ass",fall off; desert
836,mr',3,?-?,,,Mari,examine
837,mr',3,d-d,,,Ass,interrupt
838,mr',3,i-i,,,"B, Ass",flatten; do slowly; delay
839,mr',3,u-u,,,Ass,"be fat; do slowly, be"
840,mrd,3,?-?,,,Ass,(N) suffer damage
841,mrh,3,?-?,,,B,allow (something) to spoil
842,mrq,3,a-u,,,"B, Ass",grind; rub; pulverize
843,mrr,3,d-d,,,Ass,"check, examine"
844,mrr,3,i-i,,,"B, Ass","be(come) bitter, sour"
845,mrš,3,?-?,,,B,be(come) dirty
846,mrṣ,3,a-a,,,Ass,"become ill, become sick, become"
847,mrs,3,a-u,,,"B, Ass",mash; mix; bruise
848,mrs,3,i-i,,,"B, Ass",crush
849,mrṣ,3,u-u,,,"B, Ass","become ill, become sick, become"
850,mrṭ,3,a-u,,,"B, Ass","scratch, scrape; rub"
851,mš',3,?-?,,,Ass,"rub, massage"
852,mš',3,a-u,,,Ass,"plunder, rob; abduct"
853,ms',3,d-d,,,Ass,find out
854,mš',3,d-d,,,Ass,find out
855,mṣ',3,d-d,,,SB,spread out; remove; open wide
856,mš',3,i-i,,,"B, Ass",forget
857,ms',3,i-i,,,"B, Ass",wash
858,mṣ',3,i-i,,,"OAkk, Ass",match; correspond; be sufficient; (D) provide
859,mšd,3,a-u,,,OAss,"beat cloth, wool; strike with disease"
860,mšd,3,i-i,,,"B, Ass","beat cloth, wool; strike with disease; comb (out)"
861,msh,3,?-?,,,OAss,treat with contempt
862,mšh,3,a-u,,,Ass,"shine; glow, flare up"
863,mšh,3,a-u,,,"B, Ass",measure; count
864,msh,3,d-d,,,Ass,"treat badly, treat"
865,mšh,3,u-u,,,B,"shine; glow, flare up"
866,mšk,3,?-?,,,"Ass, B",worsen; be(come) bad
867,msk,3,?-?,,,"Ass, B","worsen; be(come) bad, ugly, rotten"
868,mṣl,3,?-?,,šumṣulu,B,spend a day resting
869,mšl,3,a-a,,,B,be(come) equal; copy
870,mšl,3,i-i,e,,MB,be(come) equal; copy
871,mšl,3,u-u,,,"B, Ass",be(come) equal; copy
872,mṣr,3,a-u,,,Ass,"circle, enclose; (D)"
873,mšr,3,a-u,,,"Ass, B",drag across (garments); delay
874,msr,3,a-u,,,"B, Ass",I obstruct; II stride about; limit
875,mṣr,3,a-u,,,"B, Ass",I obstruct; II stride about; limit
876,mšš,3,a-u,,,OB,wipe off; clean
877,mṣṣ,3,d-d,,,B,(meaning unknown)
878,mṭ',3,?-?,,,Ass,"lessen, diminish, decrease"
879,mṭ',3,i-i,,,B,"lessen, diminish, decrease"
880,mth,3,a-u,,,"B, Ass",lift; pick up; fetch
881,mtq,3,i-i,,,"B, NA",be(come) sweet; (D) sweeten
882,mtr,3,?-?,,,"B, Ass",be speckled(?); spot(?)
883,mtr,3,i-i,,,OB,be excessive; (D) enlarge
884,mz',3,a-u,,,B,squeeze; (D) rape
885,mz',3,i-i,,mazā'u,Ass,squeeze; (D) rape(?)
886,mzq,3,a-u,,,"B, Ass",suck; (D) suck out
887,mzr,3,?-?,,,"OB, B",treat wool
888,mzr,3,a-u,,,"B, Ass",I obstruct; II stride about; limit
889,mzz,3,d-d,,,B,(meaning unknown)
890,n'',3,?-?,,nâ'ûm,?,I belch; II (D) animate
891,n'',3,e-e,e,nê'um,"OAkk, B, Ass","turn back, turn away, deflect"
892,n'd,3,a-a,,,"B, Ass","praise, extol"
893,n'd,3,i-i,,,"B, Ass","pay attention to, be careful"
894,n'h,3,a-u,,,"B, Ass","be calm, be quiet; (D) pacify pain; anger"
895,n'k,3,?-?,,,B,"rape, ravish; have sexual intercourse; (S) permit intercourse"
896,n'k,3,?-?,,,"B, Ass",browse on(?)
897,n'k,3,a-i,,,Ass,"rape, ravish; have sexual intercourse; commit adultery; (Gtn) have illicit sex repeatedly; (S) permit intercourse"
898,n'l,3,?-?,,,"B, Ass","lie down, sleep; (D) strike down"
899,n'l,3,?-?,IRREGULAR,itūlu,"B, Ass",lie down; sleep
900,n'l,3,i-i,,na'ālum,"B, Ass",moisten
901,n'm,3,a-u,,,Ass,"doze, doze off, drowse"
902,n'm,3,i-i,,na'āmum,B,advance bravely
903,n'p,3,?-?,,,B,I sway (of sky); II make additional payment
904,n'p,3,u-u,,na'āpum,"B, Ass","be dry, wither"
905,n'q,3,?-?,,,"B, Ass","I cry, groan, wail, whimper; II go forth; run"
906,n'q,3,a-u,,,Ass,"cry, groan, wail, whimper"
907,n'r,3,?-?,,,Ass,"kill, assassinate, slay"
908,n'r,3,a-a,ea,,B,"kill, assassinate, slay"
909,n'r,3,u-u,,na'ārum,"B, Ass","roar, snarl"
910,n'š,3,?-?,e,,"OAkk, B","live, revive"
911,n'ṣ,3,a-a,,,B,despise; look down on
912,n's,3,i-i,,na'āsum,B,"chew up, gnaw (drugs)"
913,n'š,3,i-i,,na'āšum,"B, Ass",have difficulty breathing
914,n'š,3,u-a,,,Ass,"quake, shake; lurch"
915,n'š,3,u-u,,,B,"quake, shake; lurch"
916,n't,3,?-?,e,,B,chop
917,n'ṭ,3,a-a,,,B,have a bowel disorder
918,n'w,3,?-?,,,Ass,mew
919,nb',3,?-?,,,Ass,"shine, glare, be brilliant"
920,nb',3,i-i,,,"B, Ass","call; name, nominate"
921,nb',3,u-u,,nabā'um,"B, Ass","rise, swell up"
922,nbb,3,u-u,,,"Ass, B","pipe, play the flute"
923,nbh,3,u-u,,,"Ass, B","bark (of dog, demon), yelp; (D ~ G)"
924,nbk,3,a-u,,,B,bring in
925,nbk,3,i-i,,,B,bring in
926,nbl,3,a-u,,,B,destroy
927,nbq,3,a-u,,,B,bring in
928,nbq,3,i-i,,,B,bring in
929,nbṭ,3,u-u,,,"Ass, B",shine; (S) make
930,nbz,3,u-u,,,OB,bleat
931,nd',3,i-i,,,"B, Ass","throw, lay down, throw down, drop"
932,ndd,3,i-i,,,"B, Ass","cede, give way(?)"
933,ndk,3,?-?,,,B,(meaning unknown)
934,ndn,3,i-i,,,"B, Ass",give; (St) intermingle
935,ndq,3,?-?,,,"B, Ass",tickle(?)
936,ndr,3,a-a,,,"B, Ass","roar; growl; be furious, wild"
937,ndš,3,?-?,,,B,(meaning unknown)
938,ng',3,i-i,,,B,"sing joyfully, rejoice, be hilarious"
